time,output_volume
1647475200000,4015169.8350889073
1647561600000,3902974.8352676975
1647648000000,3795666.9195116227
1647734400000,3827363.4739575456
1647820800000,3688202.749933929
1647907200000,3707829.2143043033
1647993600000,3700482.068160001
1648080000000,3580323.983233358
1648166400000,3499360.1224919846
1648252800000,3620349.8576048193
1648339200000,3575444.63665641
1648425600000,3689165.5625585667
1648512000000,3723107.5379067953
1648598400000,3842348.23370001
1648684800000,3891865.381840727
1648771200000,3945943.1135860505
1648857600000,3833214.436454357
1648944000000,3933531.044228405
1649030400000,3883981.98498248
1649116800000,3712914.166293732
1649203200000,4173121.0502541843
1649289600000,4548044.481042041
1649376000000,4779057.489999379
1649462400000,4995098.110221395
1649548800000,4897718.778620367
1649635200000,4961923.919648872
1649721600000,5274730.492370506
1649808000000,4896543.377099039
1649894400000,4731630.55792465
1649980800000,4725644.857209635
1650067200000,4609213.010938953
1650153600000,4588077.894935687
1650240000000,4580130.577636101
1650326400000,4534232.117829545
1650412800000,4526869.737191798
1650499200000,4398161.679298709
1650585600000,4394801.150206324
1650672000000,4589632.990714265
1650758400000,4805614.755352737
1650844800000,5083062.653529547
1650931200000,5465287.304957484
1651017600000,5834298.695954976
1651104000000,6198432.858918508
1651190400000,6406928.646380344
1651276800000,6389004.414711586
1651363200000,6255237.857165156
1651449600000,6074402.956893699
1651536000000,5829589.852085077
1651622400000,6008951.043325765
1651708800000,5933542.047218378
1651795200000,6367878.670078719
1651881600000,6806009.1817214135
1651968000000,6881983.510466738
1652054400000,7031320.185441112
1652140800000,7250581.18042253
1652227200000,7205261.350016317
1652313600000,7355809.768156913
1652400000000,7362871.080976175
1652486400000,7123596.419913722
1652572800000,7167100.247499218
1652659200000,6843935.318043843
1652745600000,6363313.059590092
1652832000000,5724727.666243359
1652918400000,5098984.2182077905
1653004800000,4060902.391824371
1653091200000,3442598.793005178
1653177600000,3003304.759584564
1653264000000,2773234.4194806376
1653350400000,2426111.9012530716
1653436800000,2217654.857234723
1653523200000,2073123.6581574145
1653609600000,2011392.585486907
1653696000000,2065129.0650517137
1653782400000,2072068.950743941
1653868800000,2117632.190719265
1653955200000,2138057.767869222
1654041600000,2415021.691203455
1654128000000,2642452.470678139
1654214400000,2632833.367308866
1654300800000,2519766.698970026
1654387200000,2483477.211210129
1654473600000,2484348.955418929
1654560000000,2480133.732525095
1654646400000,2192596.6368206255
1654732800000,1958707.5340042028
1654819200000,1870736.977988049
1654905600000,1927412.276087645
1654992000000,2055199.6961040578
1655078400000,2176711.0688863304
1655164800000,2994558.1658866266
1655251200000,4595791.888639627
1655337600000,6852775.027096099
1655424000000,8538638.195274532
1655510400000,9866597.308084577
1655596800000,11058800.621858237
1655683200000,11441364.090069387
1655769600000,10937564.129685385
1655856000000,9577151.358106455
1655942400000,7514320.801038934
1656028800000,6013609.740602858
1656115200000,4862798.771141826
1656201600000,3606876.188904717
1656288000000,3082519.2455618596
1656374400000,2876278.05141372
1656460800000,2848942.670133022
1656547200000,3046175.393029042
1656633600000,3301806.532113276
1656720000000,3492744.2620080444
1656806400000,3714315.607307413
1656892800000,3995057.649665891
1656979200000,4091020.476145574
1657065600000,4043989.157797017
1657152000000,3863848.1912090466
1657238400000,3566363.9589617294
1657324800000,3388014.207491214
1657411200000,3257030.9666032926
1657497600000,3037633.8944813013
1657584000000,3177420.586589591
1657670400000,3313229.9664563867
1657756800000,3593203.974702176
1657843200000,3669989.3799100993
1657929600000,3651031.7135694437
1658016000000,3697561.0228657275
1658102400000,3684343.6057565236
1658188800000,3495543.1044839923
1658275200000,3312705.908020552
1658361600000,2919632.455165828
1658448000000,3002673.0699174847
1658534400000,2949383.3613388394
1658620800000,2938698.8135599056
1658707200000,2937332.987687929
1658793600000,3000781.799369145
1658880000000,3269874.6938511846
1658966400000,3437838.4952681437
1659052800000,3354713.5110863373
1659139200000,3381538.327094231
1659225600000,3260264.0624600323
1659312000000,3241265.251135251
1659398400000,3198194.365718891
1659484800000,3003644.2997852457
1659571200000,3088869.244144549
1659657600000,3164235.9194894764
1659744000000,3307630.7976104678
1659830400000,3389285.7652778565
1659916800000,3343392.500060075
1660003200000,3641085.492837545
1660089600000,3660255.7985194963
1660176000000,3711874.8263602713
1660262400000,3728546.755699671
1660348800000,3460958.0281056575
1660435200000,3373690.075545897
1660521600000,3371774.199317426
1660608000000,3073481.4099932285
1660694400000,2974549.5763078793
1660780800000,2800066.010285678
1660867200000,2607208.7619707054
1660953600000,2890695.7693976318
1661040000000,3245767.329439119
1661126400000,3389162.7234139335
1661212800000,3630986.5122560635
1661299200000,3900722.9559094547
1661385600000,3917382.9523749202
1661472000000,4028831.825603293
1661558400000,3795320.6041158247
1661644800000,3616214.946982227
1661731200000,3554210.5533618317
1661817600000,3348881.253874296
1661904000000,3101876.450249887
1661990400000,3193195.840652828
1662076800000,3328177.4981180527
1662163200000,3471934.0445915046
1662249600000,3325372.590046924
1662336000000,3428003.6985792997
1662422400000,3521846.386297283
1662508800000,3948177.2289126567
1662595200000,4169705.3288299604
1662681600000,4275150.767916114
1662768000000,4306527.063362282
1662854400000,4358053.837247215
1662940800000,4185027.6410934855
1663027200000,3908530.3890224174
1663113600000,3397213.7471996807
1663200000000,3223258.4521697345
1663286400000,3099644.564664397
1663372800000,2954937.1053057653
1663459200000,2887741.00035503
1663545600000,2980653.486675398
1663632000000,3326877.4834680036
1663718400000,3562166.124891725
1663804800000,3573297.100791396
1663891200000,3487345.879231925
1663977600000,3452094.6851897053
1664064000000,3410862.961536151
1664150400000,3388927.4090680694
1664236800000,3130910.278800823
1664323200000,2888176.644322198
1664409600000,2687104.7473426587
1664496000000,2588136.9466295885
1664582400000,2547461.6034228997
1664668800000,2529820.326461639
1664755200000,2442913.118651281
1664841600000,2354343.897741884
1664928000000,2306916.9153240114
1665014400000,2149678.3399629104
1665100800000,1998682.9595730542
1665187200000,1883290.6738362794
1665273600000,1883652.1806344038
1665360000000,1928685.9380704574
1665446400000,1913613.2088095935
1665532800000,1940086.8855042006
1665619200000,1973583.723131158
1665705600000,2119317.7058700332
1665792000000,2147862.396904947
1665878400000,2068561.7395359557
1665964800000,1971953.9705196947
1666051200000,1859279.0334300178
1666137600000,1801205.325764993
1666224000000,1796293.7162706614
1666310400000,1659014.4336271978
1666396800000,1642345.3860254982
1666483200000,1694282.5555626266
1666569600000,1760169.0452581358
1666656000000,1805468.2170197985
1666742400000,1754395.234786067
1666828800000,1786598.5157563582
1666915200000,1911615.8981763837
1667001600000,1905512.3204375857
1667088000000,1989152.525932807
1667174400000,1992750.744542914
1667260800000,2029431.2927524112
1667347200000,2061052.75006258
1667433600000,2045454.3983137186
1667520000000,2156075.8685740004
1667606400000,2421433.0915994304
1667692800000,2430869.8240102613
1667779200000,2799606.717566755
1667865600000,3060073.130167841
1667952000000,3062183.8368207617
1668038400000,3240628.7409335575
1668124800000,3310808.145321157
1668211200000,3368845.4413380953
1668297600000,3454348.635696271
1668384000000,3378262.08007973
1668470400000,3272119.8914192514
1668556800000,3354551.9572420525
1668643200000,3138492.9476748235
1668729600000,2808441.266239187
1668816000000,2481864.0359789585
1668902400000,2292944.4346732246
1668988800000,2044667.7308759715
1669075200000,1839387.7432481628
1669161600000,1671365.0375679687
1669248000000,1538985.8573069002
1669334400000,1441988.3432732222
1669420800000,1401996.7622390639
1669507200000,1345739.2369852257
1669593600000,1211410.9861996078
1669680000000,1103306.1640654004
1669766400000,1019747.5437552278
1669852800000,962080.2280066551
1669939200000,956681.3666625032
1670025600000,856268.3705396334
1670112000000,840843.7702756284
1670198400000,822079.4852040699
1670284800000,812732.5355049911
1670371200000,793132.3789802872
1670457600000,796993.8287224685
1670544000000,804216.895200391
1670630400000,813722.7889529775
1670716800000,812069.4660036793
1670803200000,821724.1279293483
1670889600000,814115.979911428
1670976000000,879348.0758922646
1671062400000,947589.3245224215
1671148800000,960910.8100606877
1671235200000,995397.6592189558
1671321600000,1011524.2107336199
1671408000000,1022613.7936332675
1671494400000,1048246.1416686707
1671580800000,1009613.8527098636
1671667200000,937113.4104396871
1671753600000,906579.2720785651
1671840000000,872537.9111150204
1671926400000,846450.2549988063
1672012800000,827611.6051898572
1672099200000,772040.697432468
1672185600000,736112.637964732
1672272000000,737287.4602421662
1672358400000,744080.4620503861
1672444800000,744409.5905909743
1672531200000,747366.3307282708
1672617600000,744757.2111672227
1672704000000,748648.2392198062
1672790400000,760891.7827528099
1672876800000,760941.1755737193
1672963200000,762552.7067719932
1673049600000,778250.472697934
1673136000000,795398.8478004065
1673222400000,817748.7327555881
1673308800000,870066.3492464594
1673395200000,891441.4907684168
1673481600000,889736.2006372848
1673568000000,918952.6186875637
1673654400000,931708.9826301736
1673740800000,957051.5931198418
1673827200000,962614.3088548823
1673913600000,930542.316694325
1674000000000,934803.5501023019
1674086400000,940317.7927396
1674172800000,901729.4153298446
1674259200000,864731.2671288566
1674345600000,852609.5933443579
1674432000000,837986.9614916975
1674518400000,840834.2121949563
1674604800000,805554.7682724198
1674691200000,798051.8610444845
1674777600000,793659.0999412488
1674864000000,788238.4731714203
1674950400000,742310.6937493224
1675036800000,731316.1666169146
1675123200000,742116.4124094514
1675209600000,763418.2923312115
1675296000000,772617.3545967329
1675382400000,771529.4826430172
1675468800000,774491.8522602365
1675555200000,773058.7211317573
1675641600000,768408.5984182514
1675728000000,732318.0360219673
1675814400000,692688.3780853251
1675900800000,656649.2886844078
1675987200000,664039.1366651234
1676073600000,745779.4572270813
1676160000000,792525.537198501
1676246400000,815292.2642352608
1676332800000,844035.3363445222
1676419200000,863118.6590822128
1676505600000,885243.3914656547
1676592000000,911208.8998210498
1676678400000,846694.2360273821
1676764800000,814066.4604425095
1676851200000,785288.6919849645
1676937600000,760337.4433840743
1677024000000,770497.2682561399
1677110400000,770322.6733058799
1677196800000,746053.8705041076
1677283200000,734623.8337003735
1677369600000,729444.5911915273
1677456000000,736898.9529336302
1677542400000,746058.4922638288
1677628800000,746688.4456893512
1677715200000,751003.6374480875
1677801600000,747980.7991281571
1677888000000,762442.8039675887
1677974400000,763020.8614107136
1678060800000,767720.5127784752
1678147200000,768778.6974174563
1678233600000,782186.501217397
1678320000000,785694.4220320239
1678406400000,789307.1507147879
1678492800000,795709.2135775861
1678579200000,847932.2655957853
1678665600000,860175.2333092571
1678752000000,915973.495870517
1678838400000,949537.0178167975
1678924800000,966009.8640916374
1679011200000,968805.920605356
1679097600000,990640.066770874
1679184000000,968618.0774603344
1679270400000,999528.5991371594
1679356800000,1021490.6455532806
1679443200000,1020076.7756888036
1679529600000,1029679.5088787073
1679616000000,1055516.9108129044
1679702400000,1047504.4947713038
1679788800000,1041244.1887502236
1679875200000,1019919.5211180059
1679961600000,992029.3774633391
1680048000000,990071.0579192614
1680134400000,1000016.5119943962
1680220800000,1067094.1204271277
1680307200000,1064833.0537810666
1680393600000,1071407.6269054732
1680480000000,1073877.0125991774
1680566400000,1066158.6135697837
1680652800000,1059487.001424325
1680739200000,1059091.502348853
1680825600000,990125.69642493
1680912000000,946600.7583423263
1680998400000,917399.7823326859
1681084800000,894168.2211354708
1681171200000,877453.5489507307
1681257600000,858130.8080928747
1681344000000,867425.3940524368
1681430400000,831348.9110331703
1681516800000,868008.2838952829
1681603200000,894421.9067792145
1681689600000,900650.4823674854
1681776000000,922413.7237025278
1681862400000,899009.9634580674
1681948800000,842389.2076933447
1682035200000,843830.9645445822
1682121600000,816539.4724252631
1682208000000,785889.8974782816
1682294400000,764885.8025409271
1682380800000,724189.300712621
1682467200000,723937.5895118705
1682553600000,739808.9347638823
1682640000000,751250.6930858486
1682726400000,754857.9812365157
1682812800000,759996.217995582
1682899200000,787041.2320715579
1682985600000,787260.838651658
1683072000000,769474.1148268927
1683158400000,777206.9762149862
1683244800000,772909.3632748786
1683331200000,766943.4273237981
1683417600000,807407.5264058464
1683504000000,856431.9486884597
1683590400000,854099.5052662411
1683676800000,864500.2916127553
1683763200000,849666.8265652031
1683849600000,851911.6640108891
1683936000000,871884.809260084
1684022400000,822595.1115031696
1684108800000,751408.5058775285
1684195200000,739698.9903106943
1684281600000,759430.3977167467
1684368000000,757899.1924481165
1684454400000,755077.5605502577
1684540800000,722225.9253815709
1684627200000,716629.55480746
1684713600000,718132.6742126463
1684800000000,735084.6271830484
1684886400000,744241.6669274251
1684972800000,766371.9860204766
1685059200000,768401.5566443125
1685145600000,766874.8023579567
1685232000000,774495.6949046368
1685318400000,788538.8788140478
1685404800000,794730.8084601329
1685491200000,803918.2551393163
1685577600000,860937.8742636192
1685664000000,896811.4372464038
1685750400000,973261.8056469547
1685836800000,1012967.9969552088
1685923200000,1060387.5968276674
1686009600000,1154073.6553330452
1686096000000,1202806.8622679834
1686182400000,1149932.0236108103
1686268800000,1144093.2352888798
1686355200000,1124509.5177683295
1686441600000,1154760.7235889472
1686528000000,1163750.19600677
1686614400000,1111081.3313067628
1686700800000,1060837.2233552004
1686787200000,1052169.4083445952
1686873600000,1033920.4866582594
1686960000000,1015889.1939200863
1687046400000,965252.0000550546
1687132800000,926676.8571158199
1687219200000,896698.469985708
1687305600000,905133.2147609267
1687392000000,942132.2993158216
1687478400000,976952.5662984507
1687564800000,986465.4397384701
1687651200000,993945.2158508562
1687737600000,996902.5715023115
1687824000000,1008947.8262734546
1687910400000,998808.4525665349
1687996800000,957778.0883213596
1688083200000,952913.7365213579
1688169600000,965534.3656201626
1688256000000,969976.5079148599
1688342400000,943374.3978778466
1688428800000,927213.7568254893
1688515200000,911101.4646576858
1688601600000,898513.5039990544
1688688000000,868166.8356009108
1688774400000,836280.653780781
1688860800000,828778.3380282853
1688947200000,847606.097994123
1689033600000,845424.5878406834
1689120000000,836676.3988514325
1689206400000,845358.0416926314
1689292800000,845559.8019543679
1689379200000,848682.489500358
1689465600000,844779.3010326046
1689552000000,839772.2909636906
1689638400000,832881.1839831937
1689724800000,874840.4521467127
1689811200000,873447.3518182448
1689897600000,863988.0519519121
1689984000000,835124.4853315485
1690070400000,813115.2109813975
1690156800000,791517.309453015
1690243200000,775418.3191348951
1690329600000,715735.4581960813
1690416000000,688058.0939290803
1690502400000,670274.8705528261
1690588800000,676318.9756462908
1690675200000,677738.9545251582
1690761600000,690641.0578401731
1690848000000,697090.2305225267
1690934400000,706473.8235955128
1691020800000,704782.7495335684
1691107200000,697784.4634230668
1691193600000,679763.5202099617
1691280000000,686141.056646074
1691366400000,668986.1354047285
1691452800000,682762.6787898157
1691539200000,702939.6139373633
1691625600000,729222.8439988449
1691712000000,764999.5462817245
1691798400000,787592.671540804
1691884800000,809646.7299495736
1691971200000,826499.5684850223
1692057600000,821357.854023949
1692144000000,807621.0237526227
1692230400000,813133.0666604515
1692316800000,852834.0450774767
1692403200000,879807.3702861036
1692489600000,869561.7224725544
1692576000000,866718.1383410625
1692662400000,889522.987273225
1692748800000,925216.326324189
1692835200000,946987.2081160694
1692921600000,895735.5046708627
1693008000000,863551.7933474354
1693094400000,851354.3359905628
1693180800000,877578.0507409783
1693267200000,861657.9439312665
1693353600000,853632.5458513448
1693440000000,844003.0140636861
1693526400000,838222.9947723746
1693612800000,859082.5151674543
1693699200000,863130.9380122684
1693785600000,820005.7560980021
1693872000000,782943.4284033187
1693958400000,742140.0608238783
1694044800000,699351.0761808219
1694131200000,681736.9943212674
1694217600000,641212.8562709825
1694304000000,633352.6261239724
1694390400000,655081.8731854623
1694476800000,667734.7372678068
1694563200000,683228.0461584242
1694649600000,680001.2110142937
1694736000000,689992.1467834839
1694822400000,721149.5258490077
1694908800000,734657.1654605808
